"date","time","group","subject","session","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency","stimulusnumber1","stimulusitem1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusonset2","stimulusnumber3","stimulusitem3","stimulusonset3","stimulusnumber4","stimulusitem4","stimulusonset4","stimulusnumber5","stimulusitem5","stimulusonset5","stimulusnumber6","stimulusitem6","stimulusonset6","stimulusnumber7","stimulusitem7","stimulusonset7"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","86","block3","target_Trial_tri","0","300","0","0","57","1","429","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2230","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","87","block3","target_Trial_tri","0","300","0","0","57","1","399","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2200","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","88","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","89","block3","target_Trial_rec","0","300","0","0","57","1","490","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2291","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","90","block3","target_Trial_tri","0","300","0","0","57","1","433","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2234","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","91","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","92","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","93","block3","target_Trial_rec","0","300","0","0","57","1","387","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1908","1","","1053","1","correct_grey.png","2187","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","94","block3","target_Trial_tri","0","300","0","0","57","1","431","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2231","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","95","block3","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1906","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","96","block3","target_Trial_tri","0","300","0","0","57","1","393","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2194","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","97","block3","target_Trial_rec","0","300","0","0","57","1","389","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Rec_90_white.png","1907","1","","1054","1","correct_grey.png","2189","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","98","block3","target_Trial_rec","0","300","0","0","57","1","409","1","+","0","1","Rec_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2210","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","99","block3","target_Trial_tri","0","300","0","0","57","1","388","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2189","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","100","block3","Break","0","0","0","0","57","1","1584","1","Please take a few seconds to rest your eyes.     When you're ready to continue, please press the spacebar.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","101","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","102","block3","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1907","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","103","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1054","1","Tri_90_white.png","1906","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","104","block3","target_Trial_rec","0","300","0","0","57","1","366","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2167","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","105","block3","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1907","1","","1054","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","106","block3","target_Trial_tri","0","300","0","0","57","1","394","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2195","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","107","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","108","block3","target_Trial_rec","0","300","0","0","57","1","406","1","+","0","1","Rec_00_white.png","853","1","","1054","1","Rec_90_white.png","1906","1","","1054","1","correct_grey.png","2206","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","109","block3","target_Trial_rec","0","300","0","0","57","1","434","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2234","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","110","block3","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2501","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","111","block3","target_Trial_rec","0","300","0","0","57","1","420","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1906","1","","1053","1","correct_grey.png","2221","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","112","block3","invalid_Trial_rec","0","300","0","0","0","1","700","1","+","0","1","Rec_00_white.png","853","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","113","block3","invalid_Trial_tri","0","300","0","0","0","1","700","1","+","0","1","Tri_00_white.png","854","1","","1054","1","Rec_90_white.png","1906","1","","1054","1","correct_grey.png","2500","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","114","block3","target_Trial_tri","0","300","0","0","57","1","414","1","+","0","1","Tri_00_white.png","853","1","","1054","1","Tri_90_white.png","1907","1","","1054","1","correct_grey.png","2214","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","115","block3","target_Trial_tri","0","300","0","0","57","1","400","1","+","0","1","Tri_00_white.png","854","1","","1053","1","Tri_90_white.png","1907","1","","1053","1","correct_grey.png","2200","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","116","block3","target_Trial_tri","0","300","0","0","57","1","456","1","+","0","1","Tri_00_white.png","853","1","","1053","1","Tri_90_white.png","1906","1","","1053","1","correct_grey.png","2257","0","0","0"
"2024-02-11","15:59:16","1","5c48a0f696d59b000183e158","1","6.6.1","7","117","block3","target_Trial_rec","0","300","0","0","57","1","433","1","+","0","1","Rec_00_white.png","854","1","","1053","1","Rec_90_white.png","1907","1","","1053","1","correct_grey.png","2234","0","0","0"
